metros_cuadrados,habitaciones,precio_alquiler,barrio,precio_barrio,precio_metro_cuadrado,precio_habitacion,precio_metro_habitacion
35.0,1,646,"Pueblo Nuevo, Madrid",962.0460992907801,18.457142857142856,646.0,18.457142857142856
120.0,2,2402,"Colina, Madrid",1610.640625,20.016666666666666,1201.0,10.008333333333333
413.0,4,2417,"Colina, Madrid",1610.640625,5.852300242130751,604.25,1.4630750605326877
160.0,4,1850,"Ciudad Lineal, Madrid",388.4214285714286,11.5625,462.5,2.890625
51.0,2,561,"Pueblo Nuevo, Madrid",962.0460992907801,11.0,280.5,5.5
141.0,3,1735,"Ciudad Lineal, Madrid",388.4214285714286,12.304964539007091,578.3333333333334,4.101654846335697
55.0,1,964,"Quintana, Madrid",1027.0258620689656,17.527272727272727,964.0,17.527272727272727
46.0,1,686,"Pueblo Nuevo, Madrid",962.0460992907801,14.91304347826087,686.0,14.91304347826087
135.0,3,2234,"San Juan Bautista, Madrid",1160.8461538461538,16.548148148148147,744.6666666666666,5.51604938271605
62.0,3,816,"Pueblo Nuevo, Madrid",962.0460992907801,13.161290322580646,272.0,4.387096774193548
80.0,1,917,"Concepción, Madrid",1230.851851851852,11.4625,917.0,11.4625
83.0,3,1006,"Quintana, Madrid",1027.0258620689656,12.120481927710843,335.3333333333333,4.040160642570281
51.0,2,662,"Ventas, Madrid",908.5194805194806,12.980392156862745,331.0,6.490196078431373
58.0,2,780,"Quintana, Madrid",1027.0258620689656,13.448275862068966,390.0,6.724137931034483
66.0,3,901,"Pueblo Nuevo, Madrid",962.0460992907801,13.651515151515152,300.3333333333333,4.55050505050505
149.0,4,1966,"Ciudad Lineal, Madrid",388.4214285714286,13.194630872483222,491.5,3.2986577181208054
65.0,2,1094,"San Pascual, Madrid",1339.9,16.83076923076923,547.0,8.415384615384616
62.0,2,1148,"Concepción, Madrid",1230.851851851852,18.516129032258064,574.0,9.258064516129032
75.0,3,979,"San Pascual, Madrid",1339.9,13.053333333333333,326.3333333333333,4.351111111111111
77.0,2,917,"Concepción, Madrid",1230.851851851852,11.909090909090908,458.5,5.954545454545454
70.0,2,762,"Pueblo Nuevo, Madrid",962.0460992907801,10.885714285714286,381.0,5.442857142857143
50.0,1,1187,"San Juan Bautista, Madrid",1160.8461538461538,23.74,1187.0,23.74
100.0,4,1248,"Ciudad Lineal, Madrid",388.4214285714286,12.48,312.0,3.12
92.0,3,1067,"Pueblo Nuevo, Madrid",962.0460992907801,11.597826086956522,355.6666666666667,3.8659420289855073
59.0,2,802,"Ciudad Lineal, Madrid",388.4214285714286,13.59322033898305,401.0,6.796610169491525
279.0,4,1536,"Costillares, Madrid",1403.5454545454545,5.505376344086022,384.0,1.3763440860215055
134.0,3,1169,"Colina, Madrid",1610.640625,8.723880597014926,389.6666666666667,2.9079601990049753
169.0,4,2170,"Costillares, Madrid",1403.5454545454545,12.840236686390533,542.5,3.210059171597633
75.0,3,994,"San Pascual, Madrid",1339.9,13.253333333333334,331.3333333333333,4.417777777777777
60.0,2,762,"Ventas, Madrid",908.5194805194806,12.7,381.0,6.35
63.0,3,755,"Ventas, Madrid",908.5194805194806,11.984126984126984,251.66666666666666,3.994708994708995
92.0,2,1174,"Quintana, Madrid",1027.0258620689656,12.76086956521739,587.0,6.380434782608695
74.0,3,762,"Ventas, Madrid",908.5194805194806,10.297297297297296,254.0,3.4324324324324325
65.0,2,1024,"Ciudad Lineal, Madrid",388.4214285714286,15.753846153846155,512.0,7.876923076923077
45.0,2,686,"Pueblo Nuevo, Madrid",962.0460992907801,15.244444444444444,343.0,7.622222222222222
75.0,3,816,"Pueblo Nuevo, Madrid",962.0460992907801,10.88,272.0,3.6266666666666665
73.0,2,1122,"Concepción, Madrid",1230.851851851852,15.36986301369863,561.0,7.684931506849315
81.0,3,1135,"Ventas, Madrid",908.5194805194806,14.012345679012345,378.3333333333333,4.670781893004115
